REVIEWER_ID,PRODUCT_ID,REVIEWER_NAME,HELPFUL,REVIEW_TEXT,RATINGS,REVIEW_SUMMARY,REVIEW_TIME,UNIX_REVIEW_TIME
AKM1MP6P0OYPR,132793040,Amazon Customer,"[12, 15]","I'm a professional OTR truck driver, and I bought a TND 700 at a truck stop hoping to make my life easier.  Rand McNally, are you listening?First thing I did after charging it was connect it to my laptop and install the software and then attempt to update it.  The software detected a problem with my update and wanted my home address so I could be sent a patch on an SD card.  Hello?  I don't think I'm all that unusual; my home address is a PO box that a friend checks weekly and that I might get to check every six months or so.  I live in my truck and at truck stops.  If you need to make a patch available on an SD card then you should send the SD cards to the truck stops where the devices are sold.  I ran the update program multiple times until the program said that the TND 700 was completely updated.I programmed in the height (13'6""), the length (53') and the weight (80,000#) of my rig and told it that I preferred highways.  I was parked at a truck stop in the Cincinnati OH area.  My next pickup was about 15 miles down the same freeway but on the other side of it a couple of blocks.  My cell phone GPS (Sprint) said to get on the freeway to get to my pickup.  The TND 700 routed me thru 23 miles of residential streets before finally getting me to my pickup.  Very exciting, especially since every time I refused to turn down a street posted ""No Trucks"" the TND 700 took almost 5 minutes to figure a re-route, and it happened multiple times on that short trip.I decided to give it another chance.  After my pickup on the north side of Cincinnati just off of I-75 I needed to head to Phoenix AZ via I-71.  Easy route is to just hop on I-75 and drive west and south to the intersection of I-71.  Indeed, that is what my cell phone advised.  The TND 700, however, wanted to route me over surface streets across the city and pick up I-75 on the other side of the city.  I turned it off and the next time I passed a truck stop of the same chain I purchased it at I returned it and got my money back.I then spent $30 on a cheap printer.  Now I take a minute to set up my route on Google and print it out.  Hasn't gotten me lost yet over several cross country trips.",1,Very Disappointed,"11 25, 2010",1290643200
A2CX7LUOHB2NDG,321732944,A. O Sandness,"[21, 22]","This is a great truck GPS. I've tried others and nothing seems to come close to the Rand McNally TND-700.Excellent screen size and resolution. The audio is loud enough to be heard over road noise and the purr of my Kenworth/Cat engine. I've used it for the last 8,000 miles or so and it has only glitched once. Just restarted it and it picked up on my route right where it should have. The exit lane screen has been spot on every time and gives me plenty of time to get my rig into the appropriate lane safely. I also love the multi-stop route planning and use it a lot. Updated regularly, it has shown me all the construction zones and has a feature to allow me to detour around them. Creating Groups and storing locations in them is a breeze so I can separate warehouse from store locations, etc.I'm running an HP Pavilion laptop with Windows 7 OS for the dock and update. The USB port DOES charge the GPS, at least with my laptop, despite the warning in a previous review. Even if it didn't, the supplied 12-volt and AC chargers take care of getting the battery up to speed.My complaints are relatively minor:Battery life when it is unplugged isn't great. However, since I use it plugged in in the cab 95% of the time, it doesn't create too much of a problem.The announcement of state borders coming up is nice but it doesn't tell you (or show you on the map display) what state you are in and/or going into. Again, a minor issue because I know where I am but all my other GPS units had this feature. For $500 smackers, I don't expect this kind of slip-up.There is a Micro SD slot on the unit and I bought a card for it. Unfortunately, the manual has absolutely no information on using it. The only reference is on the page showing the physical features of the unit, showing the position of the slot. Annoying.Clean up the minor issues and this unit rates a solid 5.Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS",4,Great Unit!,"07 25, 2010",1280016000
A2NWSAGRHCP8N5,439886341,C. A. Freeman,"[43, 45]","Well, what can I say.  I've had this unit in my truck for about four days now.  Prior to that I had a Garmin 755T non-truck GPS.  One of my favorite features in that unit was the ability to plan a route by determining mileage using the stop or via feature.  What I would do is using a map I would route myself several different ways forcing the unit by putting in stops or vias at different locations along the route, otherwise, like most GPS 's, it determines what it thinks is the best route.  I could add up to 10 Via's or stop points for each route and then based on mileage and other factors determine which is the best route to take.  Multiple stops and the ability to route was the most important reason for having the Garmin.  However it was not truck specific.  And considering I am now hauling strictly hazmat I wanted something that would take that into consideration.  After perusing various forums, review sites, and word-of-mouth my choices boiled down to the Garmin 465T or the RAND McNally Intelliroute TND 700.  Even though it was quite a bit more than the Garmin I chose the TND 700 for several reasons.  The main one being the extra screen size, and its ability to coordinate with the RAND McNally truck atlas and also its ease of updating.Now on to my first impression of the TND 700.  It seems to be an aesthetically pleasing and durably built unit.  The first thing I noticed was it's very slow to boot compared to my old Garmin.  Whether this is unique to the TND 700 or is common amongst all truck specific gps units I cannot tell, but it's really not that big of a deal.  The second thing I noticed was the overwhelming wealth of information put forth.  That might explain why the manual (available via the TND dock) is well over 100 pages long.....  There is somewhat of a learning curve with this unit.  The next thing I noticed was the complexity of entering routes.  As previously mentioned I like to force it into my preferred routing by the use of stops or vias.  That was a big no go with this unit.  While you can enter multiple stops or vias it is nowhere near as user-friendly as my old Garmin.  Furthermore there is no way you can determine total mileage on the route that you have chosen, as I could with the Garmin.  Totally flummoxed by what appeared to be an omission of one of the best routing tools a trucker could have I went online and verified through an expert source connected with RAND McNally that no, that feature was a couple updates down the line and was not available at this point.  Unbelievable.  Also forcing the unit to follow a specific route can be very challenging.  For a unit of this price, and feature laden, I find this totally unacceptable.  I am still mulling over selling this unit  and buying the Garmin 465T.  I really do like this GPS, the screen is magnificent, and the volume is awesome.Another thing I've noticed, which I do not think is unique to this unit, is some of the weird routing that it does.  I've never owned a truck specific GPS before but after playing with this one for a couple of days I get the impression that what RAND MacNally (and the others that use Navteq) has done is take a plain old car specific Navteq map and a road atlas with truck restrictions and made notifications on the map.  In most databases there is not a 100% thorough listing of every road in the country.  What I mean is that this unit will route you down roads you don't belong on.  Today while coming home it tried routing me on several  9 ton County roads.  What that means is that a truck is limited to 73280 unless the road is posted at 10 tons.  County roads do not have that restriction listed in the RAND McNally road atlas, so I believe that is why it is not listed.....  Also unacceptable in a unit of this price and sold as truck specific.  However I'd be willing to bet the other truck specific units are the same way as no one has ever done a truck specific version of NavTeq.Another bone I have to pick is the POI's. Not only the truck specific ones but the others all seem to be somewhat outdated.  I think the Garmin, at least the ones that I have used, are more current.  It would also be nice if I could add my own POI'sTo sum it up I will keep this unit a little longer to see if I can make it workable.  If not I will go back to Garmin.  I like the concept and I like the unit but at this point I'll have to say I am somewhat unimpressed.pros:Large screenterrific imagesoutstanding volumecons:inability to determine route mileage by multiple stops and viasa somewhat outdated POI information.Non-truck specific routings.Cost.",3,1st impression,"09 9, 2010",1283990400
A2WNBOD3WNDNKT,439886341,"Dclownfish03 ""Dclownfish03""","[23, 32]","My brother is a trucker and pre-ordered this.  He was out on the road when it arrived, so he asked me to charge it, update it, and play with it.  FUN!  I am not a trucker, but from what I hear from my brother, the tools on this device are awesome.  It looks like it would be very helpful for him.  The thing is huge, a 7"" screen!  Overall, this seems to be a great tool.My problem with it is that it cannot update.  I have a brand new computer running Windows 7 64 bit.  It's a Dell Studio XPS 8100 (i5 processor).  After reading on forums and contacting Rand McNally, I have learned that Windows 7 does not send enough power to the USB ports to allow the TND 700 to go into ""connected"" mode when it's plugged in to a computer.  Supposedly this is a problem that occurs mostly with laptops and some Dell systems (""Dell Latitude or Inspiron PC (it may occur on other models as well)"").  Rand McNally send a very helpful email with some solutions to the problem, though it sounds like they are still unsure of all fixes or what causes the problem.  I am disappointed that a brand new device does not work with a brand new operating system, though that seems to be the nature of all things now-a-days.  I am hoping that it will update on my brother's XP laptop. we'll see when he gets back home.",2,New GPS doesn't work with new Windows 7,"06 21, 2010",1277078400
A1GI0U4ZRJA8WN,439886341,dpr1961,"[12, 12]","I did a lot of comparison shopping and decided to buy the Rand McNally 7"" GPS.  Has better graphics than Cobra 7"".  It does have lane assist which is important when in large metro areas and need to be in correct lane for exits, etc Atlanta, GA.  I have read some of the negative comments written earlier and I do not have those problems.  Sure, sometimes it does not give the fastest or the simplest route but it has never sent me down a non truck route like all the prior gps i have had in the past.  I am a car carrier so I set truck size at 13' 8"" and it has kept me from going down roads with 13'6"" bridges.  The only negative comment I have is that it constantly changes map views from city to county to state way to often.  Other than this, I love the fact that:  1) it shows mileage to destination, arrival time (which you can change to time left),  2) shows the city, county and state you are current located (how often we truck drivers pull over at a rest area or truck stop and wonder what city we are located).  3) large 7"" color screen for easy viewing and screen changes automatically for night time driving  4) list truck poi and non truck poi (wish Rand McNally had a feature that would let us send them an update for poi, maybe when we get at a Loves that use to be a Pilot, just tap on the screen and edit info, then when I connect gps to computer for weekly update the map will get updated.  5) able to update construction info by linking gps to computer and get updates given to Rand McNally by the states.  Unfortunately like usual  the states are mostly behind on updates given to Rand McNally.  This is where we the consumer should have the ability to tap screen and make corrections and send it to Rand McNally.  Many times I have gone into areas that it said ""Construction Ahead"" and no construction is being done because it has been completed.  6)  speed limits of highways and Interstates and shows your current speed just below it (also shows truck speed limits in red) Still the states have to report these limits to Rand McNally and as usual they are slow on reporting.  But still most of the time 95% it is correct.  7)  great truckers tools like driving hours left.  It automatically changes to driving when truck has moved for more than 1 mile and changes to off duty if it is idle for 15 minutes.  It lets you know when you have 1 hour left to drive and that driving time has expired. You reset every day manually.  Also have total hours worked for day and hours left to work for the week. You will have to manually override this sometimes because it doesn't distinguish off duty and on duty hours well, you have to manually tell it you are on duty.  I just manually configure at the end of the day.  The important one is driving hours and end of the week hours.  8)  service reminders for your perimeters you set, such as 8000 and 16000 services.  You reset manually when completed.  9)  able to set many multiple stops set and ability to add more stops in route  10) loud enough to hear spoken text to speech street names over engine noise (and believe me my truck is loud)  11) ability to save your own poi (I do it all the time)  12) it tells you when you are 3 miles from approaching a weight station (you can configure it up to 5 miles)  13) it tells you when you are 1 mile from state border and tells you when you cross border and what state you are in.  14) it tells you all mileage you driven that day and mileage by state and mileage by day.  saves info for 1 year.  Overall, this is definitely a truckers friend and I absolutely love this GPS.  A definite must buy.",5,Excellent buy,"12 25, 2010",1293235200
A1QGNMC6O1VW39,511189877,Joe,"[67, 67]","Well as one of the first to get this I figured I'd give a review. The screen is great. It's pretty clear and seems tough enough not to need a screen protector. The plastic that was on the screen out-of-the-box left glue residue which was a pain to remove. It comes with a stylus that works great but navigating around with your finger is easy and works just fine. I usually just have to tap it with the back of my finger. When you get it, charge it for a few hours before you use it at all. I'm not sure if my over sized good laptop even was charging it. So use the wall outlet. It comes with nice cables for both wall outlet and 12 volt, as well as a good usb cable. The supplied mount is excellent and easy to use. No tools required. The screen part snaps into another flat part on the mount and you have to make sure it's clicked in all the way or it will drop out.. AFTER IT IS FULLY CHARGED, plug it in the pc and get your first free lifetime update. The software loads fine and tries to start up each time you use the computer. I stopped that and made a shortcut to start it myself. There are no options I saw to disable it from auto starting... I used ccleaner/tools/startup to disable it. The program DOES use a lot of resources when running, but you only need to update once in a while.My first drive with it was Tampa to El Paso. It saves my height, width, weight and hazmat class. I was hauling hazmat. It gave a killer route that would have saved time but I had to alter it for the company fuel stops and routes. It tells you everything you need to know. Where travel centers are and what they have, scales and weigh stations and much more which can all be symbols on the map if you wish. YAY now i don't have to buy an iphone. Some stuff in the manual says parts are for future use so I'm guessing the updates are going to give even more. You can manually adjust the zoom. The automatic screen zooming works great. One time it was dark and cloudy with a cool looking sky and I looked at my screen and saw the exact same thing as I approached a ramp. You can save all your addresses and stops and put notes in them for phone numbers and gate codes etc. Then make groups (folders) for your addresses so you can find them even quicker. I sat there for 9 hours like a jerk and typed in all the company terminals and drop yards. It was fun. I'm saving each new stop now with notes too.Once the GPS kinda got confused and mixed up my current rout with a completed one. It may have been my fault but I don't think so. I just restarted it real quick and it worked fine again.I also used it in my car. It's easy to switch between truck and car mode. I drive a medium large car and the 7 inch unit was a bit to big and did obstruct my view a little.The voice is fine and easy to adjust. The thing is nice and it works good. The traffic and road updates for life. I don't have to use internet or buy a netbook (with gps) and software... I'm happy I got it. I don't get lost anymore.I like the TND 700. I'd just like to tell Rand Mcnally that since we spent as much on this as for a laptop, please make this the best and keep updates and innovations coming to us for the next few years at least. I'm kinda expecting you to make the software on the unit and on the TND DOCK (pc software) a bit better. I'd also like to be able to set up routes INTERSTATE to INTERSTATE to INTERSTATE to FINAL in order to comply with company route solutions. Sometimes we can't take all those better routes the unit suggests. You can make this worthy of five stars with just a little more effort.  Well, I gotta haul A$$. Joe",4,really nice truck GPS,"07 8, 2010",1278547200
A3J3BRHTDRFJ2G,511189877,lonestar trucker,"[15, 16]","DONT WAIST YOUR MONEY ON THIS PRODUCT MY CELL PHONE GIVES ME BETTER DIRECTIONS AND FASTER ROUTES TO MY DESTINATION EVEN THOUGH ITS MAINLY A CAR ROUTE. RAND MCNALLY TND 700 HAS GOTTEN ME IN SEVERAL TIGHT SPOTS INCLUDING NON TRUCK ROUTES THAT I HAD TO BACK UP MY TRACTOR TRAILER IN THE MIDDLE OF DOWNTOWN CHARLOTTE.THIS PRODUCT ALSO CANNOT READ MAPS CORRECTLY. IT HAS TOLD ME TO MAKE U TURNS AND GO SOUTH FOR 3 MILES TO CATCH A BY PASS ROUTE TO GET ON I 95  WHEN ALL I HAD TO DO WAS CONTINUE STRAIGHT FOR ABOUT 800 FEET AND MAKE A LEFT TO THE I95 ON RAMP.THE LIST GOES ON AND ON. AND IHAVE TRIED TO CONTACT AMAZON SO THAT I CAN RETURN THIS PRODUCT AS IT REALLY SUCKS. NOW ITS FEATURES LIKE MILEAGE TRACKING BY STATE AND DAY TRAVELED ITS GREAT, BUT WHAT GOOD ARE ITS FEATURES WHEN YOU CANT GET TO YOUR DESTINATION ON TIME OR GET LOST BY THE SAME INSTRUMENT THAT IS SUPPOSED TO ELIMINATE JUST THAT.",1,RAND MCNALLY TND700 SUCKS,"10 9, 2010",1286582400
A2TY0BTJOTENPG,511189877,jerry camp,"[11, 14]","Same charger can be bought at Barnes & Noble for half the price. What gives? I understand they are your competition and all, but seriously?",1,Double the B&N price?,"08 2, 2013",1375401600
A34ATBPOK6HCHY,511189877,A newbee with GPS,"[14, 15]","I bought the blue logger and both Street atlas 2005 and SA2005 HH for my Dell X50V. No problem with the Blue Logger GPS but my complaints are as follows:1. Delorme did not include the Blue Logger Manager software on the HH. Now they want to sell it separately for additional $39. Very Weird marketing strategy indeed.2. The software for the pocket PC is very difficult to use, not very intuitive. It seems the hand held software was developed as an afterthought from the software for the pc. It is poorly designed, and appeared was not fully tested by normal users prior to releasing to market.3. It is very cumbersome and slow to determine a route. Even with a 620 MHz Axim, it is slow. Worse yet, the route is often wrong. FOr example, this afternoon I use SA2005 to determine a route to a friend's house. Had I followed that route, I would come to a dead end street and have to back track about 10 miles to get to another correct route to my destination. Luckily, I decided to use my paper map. Later, I tried Microsoft Mapping on the internet and it actually gave me the correct routing. Last week for another location, SA2005 found the wrong location for a given address which would take me about 4 miles off. Luckily, I knew where it was and ignored the routing from SA2005 HH.4. Many other mapping softwares for HH will allow one to use it with 1 hand and often with the finger. But not with SA2005 HH. After 2 weeks of using it, I found myself going back to my old paper map. For example, if I had not calculated a route and just simply use the GPS and map to travel, the software only show the street I was on but no name given and no street name shown for upcoming cross streets. It does not help when you are lost.5. SA2005 maps seems to be several years old and not very up to date. I guess that's why Delorme does not want to clearly advertise this issue.I am seriously considering giving up SA2005 and consider this as my $50 learning mistake, and looking at Microsoft Street & Trip 2005 or later in 1Q 2005, IGuidance who is supposed to have the latest map.I am not alone in this as several other users have also complained on delorme user forum. I wish I had read that forum before buying Delorme software. Well, Live and Learn.",2,Street Atlas 2005 HH provides wrong route and hard to use,"12 18, 2004",1103328000
A89DO69P0XZ27,511189877,B. Smothers,"[95, 101]","I was hesitant because of the price but after looking at the reviews I decided to go ahead and purchase one. This is the first time I mounted a TV on the wall so I didn't know exactly what to expect. I put a 32"" Toshiba LCD on it. Mount is strudy and has good adjustments. Installed it in about 20 minutes. Works great and I would definately recommend this for a low cost alternative for mounting a tv.",5,Great Mount,"10 9, 2010",1286582400
AZYNQZ94U6VDB,511189877,costaricachris,"[15, 19]","Quality was excellent. Instructions were clear. It was not clear about a tilt feature, but there was enough to level it when I finished. Be careful to get the wall bracket real vertical. (I was using it for a 23 inch computer screen so I really need it to be level for reading.) Everything I needed plus lots of extra hardware for different situations.",5,Real value for the money,"10 5, 2010",1286236800
A1DA3W4GTFXP6O,528881469,gewalla27,"[16, 22]","hard to install, very hard to move around once installed, need to loosen all the screws to make it move around, and it seems as if it is going to fall off the wall. i would not buy it again.",1,don't buy,"08 6, 2011",1312588800
A29LPQQDG7LD5J,528881469,Greg G. Corkins,"[12, 16]","This is an exceptional tv wall mount. It is very easy to install. It comes with a variety of screws to match the back of the television. The mounting screws are improved and very adequate. It took longer to decide where to place it than it did to actually install the mount and television. The center of the two arms separate, making it very easy to hang and attach the television.  It is a great value and a quality product. Please be sure the hole pattern options match the tv set.",5,Excellent product,"09 19, 2010",1284854400
AO94DHGC771SJ,528881469,Ichelo,"[11, 15]","The mount while being rated for 55lbs, can barely hold my 30lb tv.  When fully extended it sags by 4 inches or so, it doesn't keep the tv level, I can tell that the mount would break if I were to mount a 55lb tv.  I am not sure how much i trust it over time, i'm going to replace it.",1,Doesn't hold up very well,"01 4, 2012",1325635200
AMO214LNFCEI4,528881469,"J. Galloway ""Master Technologist""","[163, 172]","This flat panel mount is adjustable and very cost effective, an excellent product for the money.  This arm comes with all needed mounting hardware for either masonry or wall stud mounting as well as a set of 4 screws for several sizes of panel mounting screws.  It also comes with a small wrench for two different sizes of hex heads on the arm and an allen wrench for one of the arm adjustments.  It is at least a two man operation to attach the flat screen after the arm is attached to the wall.  I mounted mine on a stud in the wall.  For stud mounting you use two of the six mounting hex head lag screws that come with it.  It doesn't say exactly in the directions but you should use a 1/4"" drill bit to pre-drill the holes in the stud.  I would not recommend trying to use the included hex wrench to tighten down the wall mounting lag screws, you need more leverage to tighten it than it provides; use a crescent wrench or other longer hex wrench.  I used a stud finder to locate the studs accurately.  Make sure you do not have obvious pipes or electrical going through the wall at the chosen location.  They can throw off some stud finders.  If you want to quickly adjust one of the arm adjustment screws it also contains a replacement screw that has a slip bar top lever so that it can be loosened and tightened without a wrench.  There is one optional cable management loop that attaches to the bottom of the middle of the arm.  It could use one more at the wall, but that is easy to improvise.  The flat panel we have is 32"" and 25 lbs. and works well for the mounting arm.I really like this product for this price.",5,Excellent low cost movable arm,"10 4, 2010",1286150400
A28B1G1MSJ6OO1,528881469,"JLE ""The Trouper""","[24, 30]","This is a well built device.  However the instructions suggest that you install the whole device on the wall and then install the lcd onto the device while it's on the wall--6 (smallish) screws.  This means that if you are by yourself, especially with a big tv, you won't be able to install it.  You will need 2 people.  In my case, I have a smaller tv, 27"" and I had no one to help me!  So I took one articulating arm apart from another articulating arm (1 screw), attached wall mount to the wall (only used 2 screws into the stud with screws I bought at the hardware store--the tv weighs only 15 lbs & the device can hold 55 lbs if the correct screws are used), attached the television mount side to the tv while the tv was sitting face down on my couch (this is really the best way to do it because you don't have to balance anything)--and with only 1 screw to attach the two articulating arms together--and a big screw at that--I was able to put the tv up by myself. You will find that you will need to adjust the screws on the articulating arms because they come to you pretty tight.  And for the price ""such a deal""!",4,Better to install this differently than instructions suggest.,"10 31, 2010",1288483200
A3N7T0DY83Y4IG,528881469,lauriecsbug,"[30, 33]","Cheapest price we could find for wall mount designed for our new tv.  We can turn the tv toward the sofa or toward the kitchen, press it against the wall, or pull it out.  One thing to keep in mind is that the tv is only flush witht he wall when the arm is off to the side, so centering the base on the wall won't center the tv.",5,Great price and loving it,"01 11, 2010",1263168000
A1H8PY3QHMQQA0,528881469,L. D. Ellison,"[67, 82]","I am using this mount for a 27"" LCD in my bedroom. Using a swivel mount with tilt works great for almost any room layout. The black powder-coat paint matches the TV, and looks great. Adjustment and locking is easy with the included hex wrench. I would rate this ""5 stars"" if the mounting screws were better. Made from relatively soft steel, the screw head strips very easily. After ruining one screw, I replaced it with a large black deck screw. It might be advisable to drill small pilot holes before attempting to drive the screws.Word of caution: If you do not drive the proper mounting screws into the center of a wall stud, if you exceed the specified TV weight limit, or if you try to get by with a really cheap swing arm mount, you may be signing a death sentence for your $500 TV (and perhaps yourself)!",4,"Looks good, does the job","12 8, 2008",1228694400
A2CPBQ5W4OGBX,528881469,LG,"[14, 19]","I mounted this in my RV and it holds a 26"" LCD TV / DVD combo.  Installation was very easy and the mount works GREAT!  I was prepared to pay 5 times the price for a mount that would work as I wanted.  I couldn't be happier.",5,"Excellent, at any price","09 30, 2010",1285804800
A265MKAR2WEH3Y,528881469,Lizzie,"[13, 14]",We had bought a more expensive one......and returned it because it was so complicated.  This TV wall mount was easy to install.  We have it supporting our 40&#34; Samsung....we are so pleased with it.....highly recommend it!!,5,Just what we needed,"12 14, 2012",1355443200
A37K02NKUIT68K,528881469,snakecharmer,"[21, 30]","first off, I am mechanically inclined, and this looked ok when I got it, however when I mounted it to the stud-not a big problem-it became slowly obvious that the middle joint was a bit wonky, I followed the instructions all the way and when the tv was mounted and I thought it might work the middle part did not hold and my flatscreen went down, hit the wall and broke-just goes to show that you can't trust product ratings on Amazon, and its more cheaply made defective garbage from china.",1,broke my television-middle joint will not lock or tighten correctly,"09 9, 2011",1315526400
A2AW1SSVUIYV9Y,528881469,Stephan,"[70, 92]","I purchased this mount for my 37 inch LCD TV.  Installation was easy...  The trouble I encountered was due to a bad wall stud finder.  Make sure you have one when you install this mount because you need to screw the mount into a wall stud or at least have one screw into a wall stud.The arm of the mount sags after I hooked up my 37in. LCD TV to the mount.  My TV is within the weight limit of this mount (less than 55lbs.) but the arm still sags due to the weight of the TV.  I guess as long as it supports my TV, the sagging shouldn't be an issue.  It just looks funny from the side.  I do retract the arm inward towards the wall to minimize the sagging and it also gives me the warm fuzzy feeling that the arm will be less likely to break off.Overall, for the price this mount is a great deal and works but I would suggest purchasing it for flat screen TVs less than 37 inches.  I would not hesitate to buy this mount again but for a 32 inch TV at most.",3,It Works But Could Be Better,"12 11, 2010",1292025600
A2AEHUKOV014BP,528881469,"Thomas ""TC""","[18, 23]","Do not listen to other reviewers, screws that this came with are concrete only, there are no wood or dry wall screws. You will!!!! need a stud finder!!! There are 8 holes in total on a mounting plate, so it is plenty enough if you hit the center of a stud. Sturdy,good looking. There is a whole set of machine screws for(my guess)all TV types plus couple of tools that you will need.",5,Excellent mount,"10 12, 2010",1286841600
AMLFNXUIEMN4T,528881469,venividivici,"[14, 19]","If less money had been spent on packaging and more on quality, it might be a good product.The product was double-boxed.  The included level was broken. I would prefer to use my own level and have good hardware instead of junk on both counts.  One of the pivots on the arm was so badly rusted out of the box it seemed to compromise the whole system.  Despite 6 huge lag screws and strong arms, the joints are not strong enough to keep the mount level as it extends and articulates.  Each time I moved it it had to be re-adjusted to be level.  The hardware had to be tightened so much to keep it from wobbling, it made moving it very difficult.  I used a 26"" tv.The whole thing went back in the box for a refund.",1,"Junk, sags, wobbles, crooked, Rusted","06 9, 2011",1307577600
